density,repetition,seed,algorithm,runtime_seconds,betti_number
0.1,101,102,recursive_basis,0.00076149997767061,0
0.1,102,103,general,0.00597830000333488,0
0.1,102,103,recursive_basis,0.00060299999313429,0
0.1,102,103,recursive_no_basis,0.003031500003999099,0
0.1,103,104,recursive_basis,0.0005193999968469143,0
0.1,103,104,recursive_no_basis,0.0004906000103801489,0
0.1,103,104,general,0.007226399990031496,0
0.1,104,105,recursive_no_basis,0.0005621000018436462,0
0.1,104,105,general,0.009506399976089597,0
0.1,104,105,recursive_basis,0.003067799989366904,0
0.1,105,106,general,0.00808820000384003,0
0.1,105,106,recursive_basis,0.003852599998936057,0
0.1,105,106,recursive_no_basis,0.0005524999869521707,0
0.1,106,107,recursive_basis,0.000521100009791553,0
0.1,106,107,recursive_no_basis,0.0009494000114500523,0
0.1,106,107,general,0.00820209999801591,0
0.1,107,108,recursive_no_basis,0.00047309999354183674,0
0.1,107,108,general,0.013308900000993162,0
0.1,107,108,recursive_basis,0.0005592000088654459,0
0.1,108,109,general,0.005723299982491881,0
0.1,108,109,recursive_basis,0.0004891999997198582,0
0.1,108,109,recursive_no_basis,0.0005063999851699919,0
0.1,109,110,recursive_basis,0.0009316999930888414,0
0.1,109,110,recursive_no_basis,0.00047309999354183674,0
0.1,109,110,general,0.006942500011064112,0
0.1,110,111,recursive_no_basis,0.0004780000017490238,0
0.1,110,111,general,0.00818879998405464,0
0.1,110,111,recursive_basis,0.000516500003868714,0
0.1,111,112,general,0.010198699979810044,0
0.1,111,112,recursive_basis,0.0006600000197067857,0
0.1,111,112,recursive_no_basis,0.0006545999785885215,0
0.1,112,113,recursive_basis,0.0005438999796751887,0
0.1,112,113,recursive_no_basis,0.0006521999894175678,0
0.1,112,113,general,0.0067100000160280615,0
0.1,113,114,recursive_no_basis,0.0009632000001147389,0
0.1,113,114,general,0.011807400005636737,0
0.1,113,114,recursive_basis,0.0006164000078570098,0
0.1,114,115,general,0.006723700003931299,0
0.1,114,115,recursive_basis,0.0005335000168997794,0
0.1,114,115,recursive_no_basis,0.0005292000132612884,0
0.1,115,116,recursive_basis,0.000613199983490631,0
0.1,115,116,recursive_no_basis,0.00047890000860206783,0
0.1,115,116,general,0.007602700003189966,0
0.1,116,117,recursive_no_basis,0.0005082999996375293,0
0.1,116,117,general,0.007252200011862442,0
0.1,116,117,recursive_basis,0.0005364000098779798,0
0.1,117,118,general,0.007755099999485537,0
0.1,117,118,recursive_basis,0.0005779000057373196,0
0.1,117,118,recursive_no_basis,0.000520800007507205,0
0.1,118,119,recursive_basis,0.0005295999872032553,0
0.1,118,119,recursive_no_basis,0.0004884999943897128,0
0.1,118,119,general,0.009713700012071058,0
0.1,119,120,recursive_no_basis,0.0005020999815315008,0
0.1,119,120,general,0.007020999997621402,0
0.1,119,120,recursive_basis,0.0005211999814491719,0
0.1,120,121,general,0.013421500014374033,0
0.1,120,121,recursive_basis,0.0007602999976370484,0
0.1,120,121,recursive_no_basis,0.0005710999830625951,0
0.1,121,122,recursive_basis,0.0005323000077623874,0
0.1,121,122,recursive_no_basis,0.0006299999949987978,0
0.1,121,122,general,0.008489300002111122,0
0.1,122,123,recursive_no_basis,0.0006572999991476536,0
0.1,122,123,general,0.00859330000821501,0
